Class Number,Class Name,Unique Number,Division,Days,Time,Location,Instructor,Flags,Core,Description
RHE,306 RHETORIC AND WRITING,43225,Lower,TTH,5:00 p.m.-6:30 p.m.,PAR 104,"STALLINGS, ALEXANDRA MILL",,English Composition,
RHE,306 RHETORIC AND WRITING,43230,Lower,TTH,5:00 p.m.-6:30 p.m.,FAC 9,"SPENCER, RACHEL LEANN",,English Composition,
RHE,306 RHETORIC AND WRITING,43235,Lower,TTH,5:00 p.m.-6:30 p.m.,MEZ 2.122,"MAJUMDAR, SARASWATI NANDI",,English Composition,
RHE,306 RHETORIC AND WRITING,43240,Lower,TTH,5:00 p.m.-6:30 p.m.,PAR 103,"LEE, CHAN",,English Composition,
RHE,306 RHETORIC AND WRITING,43245,Lower,TTH,5:00 p.m.-6:30 p.m.,,"PONS, JOSE CARLOS",,English Composition,
RHE,306 RHETORIC AND WRITING,43250,Lower,TTH,5:00 p.m.-6:30 p.m.,PAR 6,,,English Composition,
RHE,306 RHETORIC AND WRITING,43254,Lower,TTH,9:30 a.m.-11:00 a.m.,CAL 221,"LIU, SISI",,English Composition,
RHE,309J RHET OF DIGITAL ARCHIVES,43255,Lower,MW,11:30 a.m.-1:00 p.m.,PAR 104,"GUNNELLS, ALEXANDRA LYNN",Writing,,
RHE,309J RHET OF OPPRESSION/SANITY,43260,Lower,TTH,3:30 p.m.-5:00 p.m.,SZB 2.814,"KIM, JUMI",Writing,,
RHE,309J RHETORIC OF ANIMALS,43265,Lower,TTH,9:30 a.m.-11:00 a.m.,FAC 9,"PIEKARSKI, KRZYSZTOF",Writing,,
RHE,321 PRINCIPLES OF RHETORIC,43345,Upper,TTH,11:00 a.m.-12:30 p.m.,PAR 302,"HANSON, TRISTAN",Writing,,
RHE,321 PRINCIPLES OF RHETORIC,43350,Upper,TTH,8:00 a.m.-9:30 a.m.,PAR 104,"RHODES, JACQUELINE R",Writing,,
RHE,325M ADVANCED WRITING,43355,Upper,TTH,11:00 a.m.-12:30 p.m.,FAC 7,"BOYLE, CASEY A",Writing,,
RHE,328 WRT FOR ENVRMTL JUSTICE,43359,Upper,MW,1:00 p.m.-2:30 p.m.,FAC 7,"POOLE, MEGAN",Writing,,
RHE,328 1-MAGAZINE WRITING/PUBLISHING,43360,Upper,W,4:00 p.m.-7:00 p.m.,PAR 105,"BUCKLEY, TOM",Writing,,
RHE,328 4-WRITING FOR ENTREPRENEURS,43365,Upper,TTH,9:30 a.m.-11:00 a.m.,PAR 6,"SPINUZZI, CLAY",Writing Independent Inquiry,,
