Class Number,Class Name,Unique Number,Division,Days,Time,Location,Instructor,Flags,Core,Description
COM,370H AI AND MEDIA EFFECTS,07264,Upper,TTH,12:30 p.m.-2:00 p.m.,CMA 5.190,"OH, JEEYUN",,,
COM,679HA HONORS THESIS,07265,Upper,M,3:00 p.m.-4:00 p.m.,CMA 6.170,"KHOO, GUAN SOON",Independent Inquiry Writing,,
COM,679HB HONORS THESIS,07270,Upper,M,3:00 p.m.-4:00 p.m.,CMA 6.170,"KHOO, GUAN SOON",Independent Inquiry Writing,,
CRW,315D PLAYWRITING I,35125,Lower,MW,2:00 p.m.-3:30 p.m.,WIN 1.164,"COSENTINO, HAL",Writing,,
CRW,315D PLAYWRITING I,35130,Lower,TTH,3:30 p.m.-5:00 p.m.,WIN 1.164,"DEUTSCH, AVERY",Writing,,
CRW,325 TOPICS IN CREATIVE WRITING,35135,Upper,MWF,2:00 p.m.-3:00 p.m.,,,Writing,,
CRW,325 WRITING POETRY OF PLACE,35140,Upper,MW,10:00 a.m.-11:30 a.m.,PAR 312,"FOUNTAIN, CARRIE",Writing,,
CRW,325 WORLDBUILDING/STORYCRAFTING,35145,Upper,TTH,3:30 p.m.-5:00 p.m.,CAL 200,"ROBERTS, ERIN",Writing,,
CRW,325 FROM SHORT STORY TO NOVEL,35150,Upper,TTH,2:00 p.m.-3:30 p.m.,CAL 419,"ACEVES, AARON HENRY",Writing,,
CRW,325F FICTION WRITING,35155,Upper,TTH,9:30 a.m.-11:00 a.m.,PAR 312,"PIPKIN, JOHN G",Writing,,
CRW,325F FICTION WRITING,35160,Upper,MWF,12:00 p.m.-1:00 p.m.,CAL 221,"VALENTINE, MATTHEW T",Writing,,
CRW,325T WRTG FOR BLACK PERFORMANCE,35165,Upper,MWF,10:00 a.m.-11:00 a.m.,,"THOMPSON, LISA B",Writing Cultural Diversity,,
CRW,340F SHORT STORY WORKSHOP,35170,Upper,TTH,9:30 a.m.-11:00 a.m.,PAR 305,"HARVEY, JONATHAN EDWARD C",Writing,,
CRW,340F SHORT STORY WORKSHOP,35175,Upper,MWF,12:00 p.m.-1:00 p.m.,CAL 323,"FRAZIER, SHAINA",Writing,,
CRW,340F SHORT STORY WORKSHOP,35180,Upper,MW,2:30 p.m.-4:00 p.m.,CAL 221,"LASALLE, PETER N",Writing,,
CRW,340P POETRY WORKSHOP,35185,Upper,TTH,2:00 p.m.-3:30 p.m.,CAL 22,"MATTHES, SARAH",Writing,,
CRW,355D PLAYWRITING III,35190,Upper,MW,2:00 p.m.-3:30 p.m.,WIN 1.114,"SHAW, PATRICK FORSYTHE",Writing,,
CRW,355F ADVANCED FICTION WORKSHOP,35195,Upper,TTH,12:30 p.m.-2:00 p.m.,CAL 419,"FRAZIER, SHAINA",Writing,,
CRW,355F ADVANCED FICTION WORKSHOP,35200,Upper,TTH,2:00 p.m.-3:30 p.m.,PAR 312,"HARVEY, JONATHAN EDWARD C",Writing,,
CRW,370H HONORS CREATIVE WRITNG PROJECT,35205,Upper,TTH,11:00 a.m.-12:30 p.m.,CMA 3.108,"PIPKIN, JOHN G",,,
CRW,370H HONORS CREATIVE WRITNG PROJECT,35210,Upper,MWF,2:00 p.m.-3:00 p.m.,CAL 323,"FRAZIER, SHAINA",,,
CSE,370 INDIVIDUAL READING & RESEARCH,63075,Upper,,,,,,,
CSE,370 INDIVIDUAL READING/RESEARCH-WB,63080,Upper,,,,,,,
CTI,301G INTRO TO ANCIENT GREECE,29925,Lower,TTH,11:00 a.m.-12:30 p.m.,WEL 1.316,"WALTHALL, DENTON",Global Cultures,Visual and Performing Arts,
CTI,302 CLASSICS OF SOCL/POLIT THOUGHT,29930,Lower,TTH,9:30 a.m.-11:00 a.m.,GAR 2.128,"GILMORE, NATE",,Social and Behavioral Sciences,
CTI,302 CLASSICS OF SOCL/POLIT THOUGHT,29935,Lower,MWF,11:00 a.m.-12:00 p.m.,WAG 308,"ISENBERG, BRIDGET WU",,Social and Behavioral Sciences,
CTI,302 CLASSICS OF SOCL/POLIT THOUGHT,29940,Lower,MWF,10:00 a.m.-11:00 a.m.,CAL 200,"TUGENDHAFT, AARON R",,Social and Behavioral Sciences,
CTI,302 CLASSICS OF SOCL/POLIT THOUGHT,29945,Lower,TTH,2:00 p.m.-3:30 p.m.,MEZ 2.124,"SCHWABE, BENJAMIN MARTIN",,Social and Behavioral Sciences,
CTI,304 1-THE BIBLE/ITS INTERPRETERS,29950,Lower,TTH,11:00 a.m.-12:30 p.m.,BUR 134,"LANDAU, BRENT",Writing Global Cultures,,
CTI,304 1-THE BIBLE/ITS INTERPRETERS,29955,Lower,MWF,12:00 p.m.-1:00 p.m.,PAR 105,"TUGENDHAFT, AARON R",Writing Global Cultures,,
CTI,304 1-THE BIBLE/ITS INTERPRETERS,29960,Lower,TTH,2:00 p.m.-3:30 p.m.,SZB 2.814,"DEMPSEY, ERIK",Writing Global Cultures,,
CTI,304 1-THE BIBLE/ITS INTERPRETERS,29965,Lower,MWF,3:00 p.m.-4:00 p.m.,PAR 105,"TUGENDHAFT, AARON R",Writing Global Cultures,,
CTI,305N INTRO TO THE NEW TESTAMENT,29970,Lower,MWF,12:00 p.m.-1:00 p.m.,PAR 206,"SWANSON, JORDAN",Global Cultures,,
CTI,305N INTRO TO THE NEW TESTAMENT,29975,Lower,TTH,2:00 p.m.-3:30 p.m.,BUR 220,"BOLESLAWSKY, LARA-SOPHIE",Global Cultures,,
CTI,310 3-INTRO TO PHILOS OF RELIGION,29980,Lower,TTH,9:30 a.m.-11:00 a.m.,SZB 4.414,"PREUSS GREENE, ROSS AUGUS",,,
CTI,320 CLASSICAL QUEST FOR JUSTICE,29984,Upper,TTH,2:00 p.m.-3:30 p.m.,UTC 4.134,"STAUFFER, DANA JALBERT",Global Cultures Ethics,,
CTI,321 THEOR FOUNDTNS MODERN POLITICS,29985,Upper,TTH,12:30 p.m.-2:00 p.m.,UTC 4.102,"STAUFFER, DEVIN A",Global Cultures Ethics,,
CTI,331 ORIGINS OF LIBERALISM,29990,Upper,TTH,11:00 a.m.-12:30 p.m.,WAG 308,"SALMIERI, GREGORY C",,,
CTI,333 ROUSSEAU AND HIS LEGACY,29995,Upper,TTH,3:30 p.m.-5:00 p.m.,PAR 303,"RUSSELL, MATTHEW R",Writing Ethics,,
CTI,335M MARX AND MARXIST THEORY,30000,Upper,TTH,12:30 p.m.-2:00 p.m.,GAR 2.128,"SARKAR, SAHOTRA",Global Cultures Writing,,
CTI,338 THE QUESTION OF RELATIVISM,30005,Upper,MWF,3:00 p.m.-4:00 p.m.,PAR 208,"DEMPSEY, ERIK",Writing Ethics,,
CTI,344D DANTE,30009,Upper,TTH,2:00 p.m.-3:30 p.m.,UTC 1.146,"BIOW, DOUGLAS G",Writing Global Cultures,,
CTI,345L LDRSHP KNG ARTHUR-QUN ELIZ:HON,30010,Upper,TTH,9:30 a.m.-11:00 a.m.,MEZ 1.204,"LANG, ELON M",Writing Ethics,,
CTI,350 MASTERWORKS OF WORLD DRAMA,30015,Upper,TTH,2:00 p.m.-3:30 p.m.,PAR 303,"FALLIS, LEWIS BARTLETT",Ethics Writing,Visual and Performing Arts,
CTI,350 MASTERWORKS OF WORLD DRAMA,30020,Upper,TTH,3:30 p.m.-5:00 p.m.,PAR 310,"FALLIS, LEWIS BARTLETT",Writing Ethics,Visual and Performing Arts,
CTI,350 MASTERWORKS OF WORLD DRAMA,30025,Upper,TTH,3:30 p.m.-5:00 p.m.,GAR 0.132,"O'HEARN, NIGEL",Ethics Writing,Visual and Performing Arts,
CTI,355R THE AGE OF REFORMATION,30030,Upper,TTH,3:30 p.m.-5:00 p.m.,GAR 0.120,"BATSON, ALEXANDER",,,
CTI,363 FRENCH REVOLUTION/NAPOLEON,30035,Upper,TTH,2:00 p.m.-3:30 p.m.,WAG 214,"COFFIN, JUDITH G",Global Cultures,,
CTI,371D DARWIN ON ORIGIN OF SPECIES,30040,Upper,MWF,1:00 p.m.-2:00 p.m.,MEZ 2.118,"ALANIZ, RODOLFO JOHN",Writing,,
CTI,371M HISTORY OF MATHEMATICS,30045,Upper,TTH,11:00 a.m.-12:30 p.m.,JES A307A,"DUNLOP, KATHERINE LAURA",Independent Inquiry Writing,,
CTI,371N NEWTON'S PRINCIPIA,30050,Upper,TTH,2:00 p.m.-3:30 p.m.,WAG 208,"LISLE, JOHN MICHAEL",Writing,,
CTI,"374 BIO, BEHAVIOR, AND INJUSTICE",30055,Upper,TTH,11:00 a.m.-12:30 p.m.,GAR 1.126,"MARTINEZ, ALBERTO A",,,
CTI,375 ART IN AGE OF DANTE/GIOTTO,30060,Upper,MW,12:00 p.m.-1:30 p.m.,DFA 2.204,"JOHNS, ANN C",Global Cultures,Visual and Performing Arts,
CTI,375 SCI/RELIGION: NEWTON-PRESENT,30065,Upper,TTH,11:00 a.m.-12:30 p.m.,PMA 6.112,"LISLE, JOHN MICHAEL",Writing,,
CTI,375 TOPICS IN CORE TEXTS AND IDEAS,30070,Upper,TTH,3:30 p.m.-5:00 p.m.,,,,,
CZ,507 FIRST-YEAR CZECH II,43655,Lower,MTWTH,10:00 a.m.-11:00 a.m.,BUR 560,"HILCHEY, CHRISTIAN",,,
CZ,412L SECOND-YEAR CZECH II,43660,Lower,MW,11:00 a.m.-12:00 p.m.,BUR 560,"HILCHEY, CHRISTIAN",,,
CZ,326 THIRD-YEAR CZECH II,43665,Upper,MWF,2:00 p.m.-3:00 p.m.,BUR 560,"HILCHEY, CHRISTIAN",,,
D B,201 LOWER-DIV DOUBLE BASS: SEC,23850,Lower,M,3:00 p.m.-5:00 p.m.,MRH 5.138,"BRAUN, JOEL",,,
D B,210 LOWER-DIV DOUBLE BASS: PRIN,23855,Lower,M,3:00 p.m.-5:00 p.m.,MRH 5.138,"BRAUN, JOEL",,,
D B,312 LOWER-DIV DOUBLE BASS: MAJOR,23860,Lower,M,3:00 p.m.-5:00 p.m.,MRH 5.138,"BRAUN, JOEL",,,
D B,212J LOWER-DIV DOUBLE BASS: IMPROV,23865,Lower,M,12:00 p.m.-1:00 p.m.,MRH 6.248,"FREMGEN, JOHN M",,,
D B,251 UPPER-DIV DOUBLE BASS: SEC,23870,Upper,M,3:00 p.m.-5:00 p.m.,MRH 5.138,"BRAUN, JOEL",,,
D B,260 UPPER-DIV DOUBLE BASS: PRIN,23875,Upper,M,3:00 p.m.-5:00 p.m.,MRH 5.138,"BRAUN, JOEL",,,
D B,362 UPPER-DIV DOUBLE BASS: MAJOR,23880,Upper,M,3:00 p.m.-5:00 p.m.,MRH 5.138,"BRAUN, JOEL",,,
D B,362J UPPER-DIV DOUBLE BASS: IMPROV,23885,Upper,M,12:00 p.m.-1:00 p.m.,MRH 6.248,"FREMGEN, JOHN M",,,
D S,235 INTRO TO DECISION SCIENCE,04435,Upper,T,8:00 a.m.-10:00 a.m.,UTC 3.112,"HAMMOND, ROBERT KINCAID",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE,04440,Upper,TH,8:00 a.m.-10:00 a.m.,UTC 3.112,"HAMMOND, ROBERT KINCAID",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE,04445,Upper,T,10:00 a.m.-12:00 p.m.,UTC 3.112,"HAMMOND, ROBERT KINCAID",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE,04450,Upper,TH,10:00 a.m.-12:00 p.m.,UTC 1.132,"BRANDAO, LUIZ E",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE,04455,Upper,TH,10:00 a.m.-12:00 p.m.,UTC 3.112,"HAMMOND, ROBERT KINCAID",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE,04460,Upper,T,12:00 p.m.-2:00 p.m.,UTC 3.112,"BRANDAO, LUIZ E",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE,04465,Upper,TH,12:00 p.m.-2:00 p.m.,UTC 1.132,"BRANDAO, LUIZ E",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE,04470,Upper,T,4:00 p.m.-6:00 p.m.,UTC 1.146,"CAO, JUNYU",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE,04475,Upper,T,2:00 p.m.-4:00 p.m.,UTC 3.112,"CAO, JUNYU",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE,04480,Upper,TH,2:00 p.m.-4:00 p.m.,UTC 3.112,"BRANDAO, LUIZ E",Quantitative Reasoning,,
D S,235 INTRO TO DECISION SCIENCE-WB,04485,Upper,T,10:00 a.m.-12:00 p.m.,,"BRANDAO, LUIZ E",Quantitative Reasoning,,
D S,235H INTRO TO DECISION SCIENCE: HON,04490,Upper,T,8:00 a.m.-10:00 a.m.,CBA 5.304,"GAO, RUI",Quantitative Reasoning,,
D S,235H INTRO TO DECISION SCIENCE: HON,04495,Upper,TH,8:00 a.m.-10:00 a.m.,CBA 5.304,"CAO, JUNYU",Quantitative Reasoning,,
D S,235H INTRO TO DECISION SCIENCE: HON,04500,Upper,T,10:00 a.m.-12:00 p.m.,CBA 5.304,"GAO, RUI",Quantitative Reasoning,,
D S,235H INTRO TO DECISION SCIENCE: HON,04505,Upper,TH,10:00 a.m.-12:00 p.m.,CBA 5.304,"CAO, JUNYU",Quantitative Reasoning,,
D S,235H INTRO TO DECISION SCIENCE: HON,04510,Upper,TH,12:00 p.m.-2:00 p.m.,CBA 5.304,"GAO, RUI",Quantitative Reasoning,,
DAN,612 ACCELERATED SECOND-YEAR DANISH,37640,Lower,MWF,10:00 a.m.-12:00 p.m.,BUR 232,"HANSEN, FRANK SEBASTIAN",,,
DCH,612 ACCELERATED SECOND-YEAR DUTCH,37695,Lower,MWF,10:00 a.m.-12:00 p.m.,ASE 1.124,"VANDERHEIJDEN, VINCENT",,,
DES,102D INTRODUCTION TO 3D DESIGN,21653,Lower,M,2:00 p.m.-5:00 p.m.,AHG 1.310,"PEREZ, JOSE MANUEL",,,
DES,102E INTRO TO INTERACTION DESIGN,21654,Lower,M,2:00 p.m.-5:00 p.m.,AHG 1.310,"PLOEHN, CATHRYN A",,,
DES,305 DESIGN STUDIO II,21655,Lower,TTH,11:00 a.m.-2:00 p.m.,ART 1.202,"LAW, CARLEY NICOLE",,,
DES,305 DESIGN STUDIO II,21660,Lower,TTH,11:00 a.m.-2:00 p.m.,ART 1.204,"PLOEHN, CATHRYN A",,,
DES,305 DESIGN STUDIO II,21665,Lower,TTH,11:00 a.m.-2:00 p.m.,ART 3.218,"DAVIS, BROOKE M",,,
DES,308 INTRO TO DSGN THEORY/CRIT-WB,21670,Lower,MW,12:30 p.m.-2:00 p.m.,,"GORMAN, CARMA RYANNE",Ethics,Visual and Performing Arts,
DES,110T HARM BY DESIGN,21672,Lower,MW,9:30 a.m.-11:00 a.m.,AHG 1.310,"RIDDELL, ELIZABETH TIANN",,,
DES,110T PORTFOLIO DESIGN,21673,Lower,W,11:00 a.m.-2:00 p.m.,ART 1.202,"YE, WEN VIVIAN",,,
DES,110T PORTFOLIO DESIGN,21674,Lower,W,11:00 a.m.-2:00 p.m.,ART 1.202,"YE, WEN VIVIAN",,,
DES,323 COLOR IN THEORY AND PRACTICE,21675,Upper,TTH,9:30 a.m.-11:00 a.m.,ART 1.406,"GORMAN, CARMA RYANNE",,,
DES,130T DESIGNING FOR SUSTAINABILITY,21678,Upper,W,8:00 a.m.-11:00 a.m.,ART 3.218,"OZGEN, CEREN",,,
DES,130T DESIGNING FOR SUSTAINABILITY,21679,Upper,W,8:00 a.m.-11:00 a.m.,ART 3.218,"OZGEN, CEREN",,,
DES,326 OBJECTS AND SPACES,21680,Upper,TTH,8:00 a.m.-11:00 a.m.,ART 3.218,"CATTERALL, ALEXANDRA KATE",,,
DES,330T COLOR LITERACY,21681,Upper,T,9:30 a.m.-12:30 p.m.,DFA 4.112,"STARBUCK, HONORIA K",,,
DES,330T CIVIC SERVICE DESIGN,21682,Upper,M,2:00 p.m.-5:00 p.m.,ART 1.406,"FREACH, JON E",,,
DES,330T ANTHROPOLOGY AND DESIGN,21683,Upper,TH,2:00 p.m.-5:00 p.m.,ART 1.202,"CAMPBELL, CRAIG A",,,
DES,130T EXPLORING MATERIALS,21684,Upper,M,11:00 a.m.-2:00 p.m.,ART 3.218,"PEREZ QUINONES, KEILA Z",,,
DES,330T DESIGN LAB PRINT STUDIO,21685,Upper,T,5:00 p.m.-8:00 p.m.,ART 2.212,"SMITH, HENRY",,,
DES,330T EDUC DSGN FOR EMERGING TECH,21686,Upper,W,2:00 p.m.-5:00 p.m.,ART 1.406,"YE, WEN VIVIAN",,,
DES,330T DESIGN RESEARCH CONCEPTS,21687,Upper,M,11:00 a.m.-2:00 p.m.,ART 1.202,"WILSON, BYRON",,,
DES,330T SPACE MATTERS,21688,Upper,T,2:00 p.m.-5:00 p.m.,ART 1.202,"GLASS, TAMIE MICHELE",,,
DES,330T PARTICIPATORY DESIGN,21689,Upper,W,11:00 a.m.-2:00 p.m.,ART 3.218,"PEREZ QUINONES, KEILA Z",,,
DES,330T TYPOGRAPHY AND GAMES,21690,Upper,TH,2:00 p.m.-5:00 p.m.,DFA 4.112,"CONTOUR, JESSIE",,,
DES,334C INTERACTION DESIGN I,21695,Upper,MW,5:30 p.m.-8:30 p.m.,ART 3.218,,,,
DES,334C INTERACTION DESIGN I,21700,Upper,MW,2:00 p.m.-5:00 p.m.,ART 3.218,"COLE, COLLIN L",,,
DES,334C INTERACTION DESIGN I,21704,Upper,TTH,2:00 p.m.-5:00 p.m.,ART 3.218,"PLOEHN, CATHRYN A",,,
DES,335 TYPOGRAPHY II,21705,Upper,MW,11:00 a.m.-2:00 p.m.,AHG 1.310,"LAW, CARLEY",,,
DES,336 HISTORY OF DESIGN,21710,Upper,MW,11:00 a.m.-12:30 p.m.,AHG 1.308,"PENICK, MONICA",,,
DES,337 DECOLONIZING GRAPHIC DESIGN-WB,21715,Upper,M,2:00 p.m.-5:00 p.m.,,"MILLER, CHERYL",,,
DES,340C IDENTITY SYSTEMS,21720,Upper,MW,2:00 p.m.-5:00 p.m.,ART 1.202,"LAW, CARLEY",,,
DES,344 OBJECTS AND SPACES II,21725,Upper,TTH,11:00 a.m.-2:00 p.m.,AHG 1.310,"PEREZ, JOSE MANUEL",,,
DES,346 PROJECT STUDIO,21730,Upper,TTH,11:00 a.m.-2:00 p.m.,ART 1.406,"FREACH, JON E",,,
DES,347 PUBLICATION STUDIO,21735,Upper,F,11:00 a.m.-5:00 p.m.,ART 2.212,"AUER, KEVIN JEFFREY",,,
DES,350 DESIGN IN CONTEXT: MILAN-ITA,21740,Upper,,,,"CATTERALL, ALEXANDRA KATE",Global Cultures,,
DES,350 TYPE AND LETTERMAKING,21744,Upper,TTH,11:00 a.m.-2:00 p.m.,AHG 1.308,"GRAY, KELCEY C",,,
DES,260 DESIGN INTERNSHIP,21745,Upper,M,9:00 a.m.-11:00 a.m.,AHG 1.308,"CANALES, KATHERINE",,,
DES,160I INTERNSHIP IN DESIGN-WB,21750,Upper,M,8:00 a.m.-9:00 a.m.,,"CANALES, KATHERINE",,,
DES,375 CAPSTONE DESIGN EXHIBITION,21755,Upper,TTH,2:00 p.m.-5:00 p.m.,AHG 1.308,"RODRIGUEZ TANG, VICTOR R",,,
DES,375 CAPSTONE DESIGN EXHIBITION,21759,Upper,TTH,2:00 p.m.-5:00 p.m.,AHG 1.308,"ARCENEAUX SUTTON, TASHEKA",,,
DES,376 INDEPENDENT STUDY: DESIGN,21760,Upper,,,,,,,
DEV,000M BASIC MATH AND ALGEBRA SKILLS,62975,Lower,W,11:30 a.m.-1:00 p.m.,SZB 3.802,"LADUE, MATTHEW",,,
DEV,000M BASIC MATH AND ALGEBRA SKILLS,62980,Lower,,,,"DESANTOS-QUEZADA, ANGELES",,,
DEV,000R BASIC READING SKILLS,62985,Lower,,,,"PROCKNOW, HILLARY C",,,
DEV,000R BASIC READING SKILLS,62989,Lower,,,,"PROCKNOW, HILLARY C",,,
DEV,000W BASIC WRITING SKILLS,62990,Lower,T,12:30 p.m.-2:00 p.m.,JES A309A,"PROCKNOW, HILLARY C",,,
DEV,300W BASIC WRITING SKILLS,62995,Lower,MW,11:00 a.m.-12:30 p.m.,ETC 2.132,"FORREST, JEWELLYN",,,
DEV,300W BASIC WRITING SKILLS,63000,Lower,MW,12:30 p.m.-2:00 p.m.,PHR 2.114,"FORREST, JEWELLYN",,,
DEV,300W BASIC WRITING SKILLS,63005,Lower,TTH,12:30 p.m.-2:00 p.m.,MEZ 1.210,"PROCKNOW, HILLARY C",,,
DEV,301M DEVELOPMENTAL MATHEMATICS I,63010,Lower,TTH,9:30 a.m.-11:00 a.m.,MEZ 2.124,"LADUE, MATTHEW",,,
DEV,301M DEVELOPMENTAL MATHEMATICS I,63015,Lower,TTH,12:30 p.m.-2:00 p.m.,ECJ 1.314,"LADUE, MATTHEW",,,
DEV,301M DEVELOPMENTAL MATHEMATICS I,63020,Lower,MW,2:00 p.m.-3:30 p.m.,PAI 4.18,"ELIAS, PAMELA GARRISON",,,
DRS,212J LOWER-DIV DRUM SET: IMPROV,23985,Lower,M,12:00 p.m.-1:00 p.m.,MRH 6.248,"JACKSON, ADAM COLEMAN",,,
E,303D PLAN II WORLD LIT PART II,35265,Lower,TTH,9:30 a.m.-11:00 a.m.,PAR 310,"WOODARD, HELENA",Writing,Humanities,
E,303D PLAN II WORLD LIT PART II,35270,Lower,MWF,11:00 a.m.-12:00 p.m.,CAL 221,"CHRISTIAN, GEORGE S",Writing,Humanities,
E,303D PLAN II WORLD LIT PART II,35275,Lower,MWF,11:00 a.m.-12:00 p.m.,CAL 323,"VALENTINE, MATTHEW T",Writing,Humanities,
E,303D PLAN II WORLD LIT PART II,35280,Lower,MWF,11:00 a.m.-12:00 p.m.,CRD 007A,"BERTELSEN, LANCE",Writing,Humanities,
E,303D PLAN II WORLD LIT PART II,35285,Lower,MWF,11:00 a.m.-12:00 p.m.,CRD 007B,"MACKAY, CAROL H",Writing,Humanities,
E,303D PLAN II WORLD LIT PART II,35290,Lower,MWF,11:00 a.m.-12:00 p.m.,GAR 1.134,"GARCIA, PATRICIA M",Writing,Humanities,
E,303D PLAN II WORLD LIT PART II,35295,Lower,MWF,11:00 a.m.-12:00 p.m.,PAR 302,"BIRKHOLZ, DANIEL J",Writing,Humanities,
E,303D PLAN II WORLD LIT PART II,35300,Lower,MWF,11:00 a.m.-12:00 p.m.,PAR 305,"FERREIRA-BUCKLEY, LINDA",Writing,Humanities,
E,303D PLAN II WORLD LIT PART II,35305,Lower,TTH,11:00 a.m.-12:30 p.m.,CBA 4.340,"LAMSON, BRANDON D",Writing,Humanities,
E,303D PLAN II WORLD LIT PART II,35310,Lower,TTH,12:30 p.m.-2:00 p.m.,CAL 221,"SIDIKI, BASSAM F",Writing,Humanities,
E,310S FILMS OF ALFRED HITCHCOCK,35315,Lower,TTH,2:00 p.m.-3:30 p.m.,FAC 21,"BRUSTER, DOUGLAS S",,Visual and Performing Arts,
E,314J 1-LITERATURE AND FILM,35320,Lower,MW,10:00 a.m.-11:30 a.m.,GDC 1.406,"GINGRICH, BRIAN PAUL",Writing,,
E,314J 1-LITERATURE AND FILM,35325,Lower,TTH,9:30 a.m.-11:00 a.m.,PAR 208,"HOPKINS, ISAAC BENJAMIN",Writing,,
E,314J 1-LITERATURE AND FILM,35330,Lower,TTH,2:00 p.m.-3:30 p.m.,PAR 101,"MARTINEZ, IVAN RODOLFO",Writing,,
E,314J 1-LITERATURE AND FILM,35335,Lower,TTH,3:30 p.m.-5:00 p.m.,,,Writing,,
E,314J 1-LITERATURE AND FILM,35340,Lower,TTH,5:00 p.m.-6:30 p.m.,PAR 303,"RICHEY, WESTON LEO",Writing,,
E,314L 3-BANNED BOOKS AND NOVEL IDEAS,35345,Lower,MWF,9:00 a.m.-10:00 a.m.,,,Writing,,
E,314L 3-BANNED BOOKS AND NOVEL IDEAS,35350,Lower,MW,11:30 a.m.-1:00 p.m.,RLP 0.122,"CALO, MICHAL",Writing,,
E,314L 3-BANNED BOOKS AND NOVEL IDEAS,35355,Lower,MW,4:00 p.m.-5:30 p.m.,PAR 208,"ARORA, KEERTI",Writing,,
E,314L 3-BANNED BOOKS AND NOVEL IDEAS,35360,Lower,TTH,2:00 p.m.-3:30 p.m.,MEZ 1.202,"MAUL, CAROLINE DUNHAM",Writing,,
E,314L 3-BANNED BOOKS/NOVEL IDEAS:HON,35364,Lower,MW,1:00 p.m.-2:30 p.m.,SZB 2.216,"LAMSON, BRANDON D",Writing,,
E,314L 9-CULT CLASSICS,35365,Lower,TTH,3:30 p.m.-5:00 p.m.,PAR 206,"PANCHOLI, MEGHA",Writing,,
E,314V 3-MEXICAN AMERICAN LIT AND CUL,35370,Lower,MWF,10:00 a.m.-11:00 a.m.,PAR 302,"ROSAS, LILIA",Writing Cultural Diversity,,
E,314V 3-MEXICAN AMERICAN LIT AND CUL,35375,Lower,MW,2:30 p.m.-4:00 p.m.,PAR 302,"MARTINEZ, ELIZABETH RENEE",Writing Cultural Diversity,,
E,314V 4-GAY & LESBIAN LIT & CULTURE,35380,Lower,TTH,9:30 a.m.-11:00 a.m.,MEZ 1.210,"AKINS, ERIN CLAIRE",Writing Cultural Diversity,,
E,316L BRITISH LITERATURE,35385,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35390,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35395,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35400,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35405,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35410,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35415,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35420,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35425,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35430,Lower,MWF,9:00 a.m.-10:00 a.m.,FAC 21,"GARCIA, PATRICIA M",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35435,Lower,MW,2:30 p.m.-4:00 p.m.,MEZ 1.306,"MALLIN, ERIC S",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35440,Lower,MW,2:30 p.m.-4:00 p.m.,MEZ 1.306,"MALLIN, ERIC S",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35445,Lower,MW,2:30 p.m.-4:00 p.m.,MEZ 1.306,"MALLIN, ERIC S",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35450,Lower,MW,2:30 p.m.-4:00 p.m.,MEZ 1.306,"MALLIN, ERIC S",Global Cultures,Humanities,
E,316L BRITISH LITERATURE,35455,Lower,MW,2:30 p.m.-4:00 p.m.,MEZ 1.306,"MALLIN, ERIC S",Global Cultures,Humanities,
E,320L MAJ WRTRS: RESTORATN/18TH CEN,35855,Upper,MWF,1:00 p.m.-2:00 p.m.,,"BERTELSEN, LANCE",,,
